epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.675,1.72759,2.38771,1.83556,0.16449,0.4129,0.17433,0.07531,1.87506,2.74822,2.09467,0.0677116,0.000998609,0.000998609
2,286.167,1.6206,2.13583,1.7857,0.42028,0.3958,0.30278,0.16033,1.53124,2.07484,1.76233,0.0353288,0.00194914,0.00194914
3,423.985,1.55331,1.96913,1.73741,0.33686,0.57748,0.3952,0.21943,1.4612,1.72373,1.68596,0.00289654,0.00285018,0.00285018
4,561.382,1.4903,1.80222,1.67974,0.36898,0.57784,0.45142,0.25268,1.40163,1.73097,1.66513,0.00277725,0.00277725,0.00277725
5,704.03,1.4461,1.68431,1.65115,0.52894,0.62251,0.57515,0.33397,1.34284,1.41192,1.60499,0.002703,0.002703,0.002703
6,843.595,1.39237,1.59456,1.6169,0.44038,0.69433,0.59982,0.35911,1.30493,1.41782,1.57726,0.00262875,0.00262875,0.00262875
7,984.528,1.3908,1.54443,1.61161,0.55785,0.65075,0.61412,0.37609,1.2761,1.31578,1.54868,0.0025545,0.0025545,0.0025545
8,1122.11,1.34502,1.48578,1.58099,0.53206,0.66147,0.62426,0.37832,1.28506,1.31266,1.5664,0.00248025,0.00248025,0.00248025
9,1267.7,1.31626,1.44036,1.55295,0.5848,0.66661,0.63721,0.38665,1.27661,1.24576,1.55323,0.002406,0.002406,0.002406
10,1407.13,1.27949,1.37057,1.53026,0.5951,0.67761,0.63324,0.39592,1.20498,1.21119,1.50278,0.00233175,0.00233175,0.00233175
11,1547.87,1.266,1.32858,1.52152,0.66496,0.68388,0.70073,0.44284,1.19363,1.12076,1.48997,0.0022575,0.0022575,0.0022575
12,1686.04,1.23563,1.26816,1.48684,0.65944,0.68226,0.70818,0.45237,1.17326,1.12644,1.47328,0.00218325,0.00218325,0.00218325
13,1823.65,1.22845,1.2552,1.48614,0.67381,0.7001,0.72617,0.46947,1.1697,1.07378,1.45092,0.002109,0.002109,0.002109
14,1964.06,1.2127,1.22867,1.4766,0.65689,0.71973,0.73813,0.48488,1.1311,1.03989,1.42854,0.00203475,0.00203475,0.00203475
15,2101.83,1.1803,1.19878,1.45613,0.72887,0.67002,0.74916,0.48665,1.12745,1.01122,1.42176,0.0019605,0.0019605,0.0019605
16,2240.74,1.17081,1.19191,1.44743,0.72118,0.68893,0.75176,0.49353,1.1358,1.03233,1.43323,0.00188625,0.00188625,0.00188625
17,2378.39,1.1671,1.16793,1.44082,0.70246,0.7342,0.75829,0.49581,1.12928,1.01421,1.41888,0.001812,0.001812,0.001812
18,2518.42,1.14082,1.13603,1.4271,0.70481,0.72891,0.75799,0.50124,1.10952,0.99492,1.40643,0.00173775,0.00173775,0.00173775
19,2657.18,1.13071,1.13156,1.41901,0.72188,0.74893,0.77661,0.51997,1.10569,0.9592,1.4032,0.0016635,0.0016635,0.0016635
20,2796.59,1.12931,1.10772,1.41592,0.72997,0.73613,0.78214,0.52479,1.08293,0.95128,1.37382,0.00158925,0.00158925,0.00158925
21,3769.04,1.12517,1.10091,1.40848,0.76625,0.71635,0.78354,0.52759,1.06852,0.92949,1.37577,0.001515,0.001515,0.001515
22,3906.84,1.09633,1.05067,1.37743,0.74871,0.7388,0.78868,0.54431,1.05672,0.91718,1.35529,0.00144075,0.00144075,0.00144075
23,4058.42,1.08735,1.05486,1.38598,0.74394,0.73968,0.79312,0.54211,1.04867,0.90703,1.36156,0.0013665,0.0013665,0.0013665
24,4209.85,1.07932,1.03727,1.3801,0.74307,0.75896,0.79759,0.54952,1.04533,0.89924,1.35013,0.00129225,0.00129225,0.00129225
25,4358.17,1.06062,1.02866,1.36281,0.73632,0.75991,0.79964,0.5494,1.03966,0.88816,1.34655,0.001218,0.001218,0.001218
26,4503.32,1.05226,1.00381,1.35253,0.7717,0.75007,0.80994,0.55983,1.01406,0.85561,1.32441,0.00114375,0.00114375,0.00114375
27,4646.26,1.03282,0.97101,1.3401,0.74529,0.79265,0.81836,0.57189,0.99111,0.84036,1.32083,0.0010695,0.0010695,0.0010695
28,4793.65,1.02758,0.98652,1.34207,0.75834,0.76498,0.81669,0.56446,1.00588,0.82445,1.324,0.00099525,0.00099525,0.00099525
